objectid,filename,youtubeid,title,creator,date,timeofday,shottype,description,subject,location,site,course,latitude,longitude,altitude,bearingdestination,source,identifier,type,format,language,rights,rightsstatement
object001,,qXpmAM-ffCM,Green Infrastructure Beyond Flood Risk Reduction (Linda Shi),"Shi, Linda; Kayden, Jerold",2020-09-10,,,"This lecture explores whether it is possible to achieve both social justice and environmental sustainability in efforts to mitigate urban flood risk. The expanding scale of urban flooding under climate change has renewed interest in large-scale restoration projects that make room for water in metro centers. However, ecologically functioning green infrastructure – unleashed rivers, sprawling wetlands – is inconsistent with the current governance landscape of fragmented local governments seeking to maximize local land values and minimize affordable housing. Moreover, even smaller-scale urban greening projects have resulted in gentrification, suggesting that larger-scale green infrastructure projects will produce still more racist, classist, and exclusionary development. The design imagination for new ecological landscapes has far outpaced a reimagination of the institutional and governance arrangements needed to enable nature-based solutions that advance social justice and ecological sustainability under climate change. This lecture provides an introduction to U.S. development practices implicated by these transitional landscapes, suggests future directions such as urban food production and regional governance, and invites conversation about ways to bridge traditional disciplinary silos in creating racially just, ecologically sustainable, and fiscally functioning cities.",Equity; Climate adaption; Green infrastructure; Flooding; Goverance; Nature-based solutions,,,,,,,,Harvard University Graduate School of Design,,MovingImage,video/mp4,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object002,Trajectory01_C01.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.21038333,-71.14791111,22.07855988,254.7063903,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object003,Trajectory01_C02.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.211075,-71.15012222,-13.64629364,205.4886476,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object004,Trajectory01_C03.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.21098611,-71.15006389,13.86762239,51.83056641,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object005,Trajectory01_C04.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.21099722,-71.15006944,14.2596817,108.2033863,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object006,Trajectory01_C05.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20973611,-71.15026944,16.92274666,273.7897948,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object007,Trajectory01_C06.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20938611,-71.15060556,-10.39995576,310.0471648,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object008,Trajectory01_C07.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20937778,-71.15058056,13.88828278,29.02700807,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object009,Trajectory01_C08.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20937778,-71.15058056,13.95145416,89.22344975,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object010,Trajectory01_C09.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20945833,-71.15065833,13.87882234,127.1548157,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object011,Trajectory01_C10.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20945833,-71.15065833,13.90634918,173.2578888,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object012,Trajectory01_C11.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20945833,-71.15068056,13.86746979,217.1800232,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object013,Trajectory01_C12.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20945833,-71.15068056,13.84351348,252.3232572,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object014,Trajectory01_C13.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20945833,-71.15068056,13.48609162,286.0572049,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
